0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,True,0.24999403920726068,0.2500059601361978,0.24998092684195458,0.2500190738145869
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,True,0.2499895096137298,0.24999475465739548,0.25000023822980033,0.2500154974990744
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.2499865292226283,0.24998342996731945,0.25002110044406867,0.2500089403659836
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.24999183374301426,0.24999421786229414,0.2500283132553982,0.24998563513929345
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,False,0.2499756209178324,0.24998038886989096,0.24999040186523322,0.25005358834704333
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.25000166857511774,0.25002074291636717,0.24998450291219348,0.24999308559632158
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.25001508027280067,0.24999767527252406,0.2499938606398344,0.24999338381484082
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.24998092660356916,0.2500233654748461,0.24998450263498626,0.25001120528659854
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.24998819781901038,0.25003087637262167,0.2500005953072407,0.24998033050112728
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,0.2499850990847714,0.2500032184734079,0.2499989269205701,0.2500127555212506
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.25000476793849313,0.24997377485335687,0.25000786745834674,0.2500135897498032
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.25001215936844495,0.2500102519343198,0.249984026190767,0.24999356250646823
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.2500036353419249,0.2500260480188336,0.2499864695439581,0.24998384709528343
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.25002270956594996,0.24999695934651198,0.250011979985535,0.24996835110200308
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.2500147820917326,0.25000095337895933,0.24998092694409688,0.25000333758521126
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.24998110553690694,0.24998992651325197,0.250022590676249,0.2500063772735921
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.2499691855322377,0.24999707862384268,0.2500154373139662,0.25001829852995344
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.25000530468808563,0.2500107884919028,0.2499852779046597,0.2499986289153519
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,False,0.2500042911291761,0.24998331081447064,0.25002217346904887,0.24999022458730433
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.24998062735465665,0.25004977294599334,0.24999993850893387,0.2499696611904161
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.25001430353545673,0.24997973325384676,0.24996209233174008,0.25004387087895646
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,False,0.25000989297945336,0.24995172331229296,0.25001704592219,0.2500213377860637
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,True,0.2500037548983711,0.2500125766739345,0.2499834898361443,0.25000017859155016
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,False,0.25000631793750333,0.25000512581732376,0.2500072716377398,0.24998128460743313
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,True,0.24999058239649674,0.2500010726388913,0.24999058239649674,0.25001776256811514
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,False,0.24997246354339386,0.2500106092245308,0.2500194312419598,0.24999749599011548
