0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.24999988027905568,0.24998271473891973,0.2500256307993559,0.24999177418266866
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,True,0.24999606593667087,0.2499953506932122,0.24999201291746181,0.25001657045265513
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.2500067947826167,0.24998366862155846,0.25001251704952127,0.24999701954630343
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.25000089338430764,0.250017821737026,0.25001162248892705,0.2499696623897392
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,False,0.24999785419913717,0.2500054836445993,0.24999356273838247,0.25000309941788107
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.24998921165785004,0.2500120999014662,0.24999779450364285,0.2500008939370409
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.2499840262667057,0.2500007150579234,0.25000405294986067,0.2500112057255103
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.2500156760994265,0.24999898630948483,0.25000804634292007,0.24997729124816875
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,True,0.2500230080698794,0.24998700614344982,0.24999773465208075,0.24999225113459006
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.25001251709181416,0.24999725800444417,0.2500046490085851,0.24998557589515658
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.24999606560993698,0.24999821135258826,0.2500251539109818,0.24998056912649302
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.2500072122145263,0.24999433757135195,0.25000220533006207,0.24999624488405967
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.24999356246878215,0.25001406677943355,0.24998283413919806,0.25000953661258624
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.2499979131228896,0.2499919527792202,0.25003081677728695,0.2499793173206032
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,True,0.24999928430014898,0.25000381428122465,0.2500193122056532,0.24997758921297306
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.2499822977000543,0.24999254918321479,0.25001472243352274,0.2500104306832081
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.25001543724177544,0.24999946272095575,0.25001829845776186,0.2499668015795069
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.24998426397162996,0.2500364798064809,0.24998879368053764,0.24999046254135152
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,False,0.24998849642178114,0.2499961255816622,0.2500039933966441,0.2500113845999125
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.24999982023890846,0.2499764563267706,0.2499888532327134,0.2500348702016076
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.2499991053572299,0.2500107880987646,0.2500172257610673,0.24997288078293822
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.24998843651190666,0.2500253924136927,0.24999725774693668,0.249988913327464
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.250036121840253,0.2499693639060751,0.2500046480216959,0.249989866231976
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,False,0.24999201260040466,0.24997794674938678,0.25001704700478483,0.25001299364542373
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.25002575002962113,0.2499999994970412,0.24998950929967642,0.24998474117366118
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,False,0.25000071518917333,0.2500085831485982,0.24999833100793042,0.24999237065429802
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.24998295295065645,0.25000464850334114,0.2500287303873576,0.2499836681586449
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,False,0.2499982709252736,0.2500254519328256,0.24999707884346511,0.24997919829843562
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,False,0.2500010123759897,0.25000125079564794,0.24996882780933366,0.2500289090190287
A Binary number system has how many digits.,0,1,2,10,C,False,0.2500215176426873,0.25000864226282504,0.24999290658786527,0.24997693350662228
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.25001150347967577,0.2500041122728928,0.24997359605538141,0.25001078819204997
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,True,0.2500180009088715,0.24998247650672534,0.25000488728675707,0.2499946352976461
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,True,0.2499827740056322,0.25000375427528504,0.24998134359681798,0.25003212812226483
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,False,0.24998599302704622,0.25000578144355556,0.24999219163964115,0.250016033889757
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,True,0.25000524485972175,0.25001144394968206,0.2500076291069006,0.24997568208369564
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,True,0.25001078855721737,0.24999791372987176,0.24998956928850363,0.25000172842440715
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,False,0.2500123365633549,0.2500383268216957,0.24995345120406406,0.24999588541088538
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.2500092983491382,0.24999451628446276,0.2500073909368408,0.2499887944295583
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,True,0.2500011911469642,0.24996805300302655,0.2500011911469642,0.2500295647030451
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,False,0.2499935619630662,0.2499701986358,0.2500231268536135,0.2500131125475203
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,False,0.249997556017761,0.24999922493706997,0.24998754273586973,0.25001567630929933
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,None,B,False,0.2499625100793445,0.2500063763679446,0.2499944554191604,0.2500366581335505
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,True,0.25001466285850854,0.2500098942527318,0.2499903439199427,0.24998509896881702
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,True,0.2499967812834713,0.25001132505258195,0.2499967812834713,0.24999511238047542
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,False,0.2500112647221109,0.24997693325715464,0.24998480046812055,0.250027001552614
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,False,0.2500165703713652,0.25000441051360567,0.24998605263318258,0.2499929664818466
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,False,0.25000417229932703,0.25000345703267585,0.2500017880851147,0.2499905825828824
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,True,0.24999409898690744,0.24998670829466166,0.2500146033415637,0.25000458937686715
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,False,0.2500183581378541,0.2499685299617053,0.2500143047572365,0.2499988071432042
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.24996572865209188,0.24999362135795702,0.25001794061535043,0.2500227093746008
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,False,0.24997794679224314,0.2500096556769779,0.24999463517759857,0.25001776235318046
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,False,0.25001001271928314,0.2500293261435975,0.24996638417905326,0.2499942769580661
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,False,0.2500242000860259,0.2499777082857885,0.2500044102116472,0.2499936814165385
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,False,0.250018000885222,0.2500079867844419,0.24998867500847852,0.24998533732185757
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,False,0.25001615298762647,0.25001162278297784,0.2499846816826904,0.24998754254670535
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,False,0.2500037550417883,0.25000232451292,0.24998921171304367,0.25000470873224806
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,True,0.25002229275980004,0.2499853373161695,0.24999535050972244,0.24999701941430802
"In electronic communications, ""AM"" stands for",Amp Modification,Amplitude Method,Amplitude Modulation,Ampere Method,C,False,0.24996203355560276,0.2500168675146029,0.2499966013894801,0.2500244975403142
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,False,0.24999570739309446,0.24996328512571123,0.25001811935926727,0.25002288812192697
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B,False,0.24998962836867736,0.24999821122877702,0.2499827146123328,0.25002944579021286
A null type instrument as compared to a deflected type instrument has,a lower sensitivity.,a faster response.,a higher accuracy.,all of the above.,C,False,0.24999856921152566,0.2499873638535687,0.24999475456519563,0.25001931236971
"Length of the cable is doubled, its capacitance C will be",one-fourth.,one-half.,doubled.,unchanged.,C,False,0.2500448251962368,0.2499821177313985,0.24997353542381573,0.249999521648549
Electrons in p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,False,0.2500204444628518,0.24997681410220787,0.250018298529373,0.24998444290556737
________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,False,0.24996298694321842,0.2499906409333796,0.2500299816213943,0.2500163905020076
Voltage controlled oscillators are used commonly in,Pulse Modulators Frequency Modulators Phase Clocked loops,Frequency Modulators,Phase Clocked loops,All the above,D,False,0.2500008342231036,0.249981761400709,0.2500096558956063,0.2500077484805811
Low frequency supply is necessary for direct core type induction furnaces because,With normal frequeny supply the electromagnetic forces causes severe stirring action in the molten metal.,Magnetic coupling between the primary and secondary circuit is poor.,Both A and B.,None of the above.,C,True,0.2500129340224574,0.2499819399249719,0.2500188948663646,0.24998623118620608
"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,A,False,0.2500138281811626,0.24998140356367085,0.24998807887643193,0.2500166893787346
Which of the following is the analogous quantity for mass element in force-voltage analogy?,Resistance.,Inductance.,Capacitance.,All of the above.,B,False,0.2500322468483543,0.24996048389987857,0.24999815091884137,0.2500091183329258
A latch is ________ sensitive,both level and edge,edge,level,None,C,False,0.24997097364405527,0.2500095959528405,0.25000554271427833,0.25001388768882593
What is used to protect the SCR from over current ?,CB and fuse.,Heat sink.,Snubber circuit.,Voltage clamping device.,A,False,0.24998372824915266,0.2500087618239311,0.2500090002509799,0.2499985096759364
The errors mainly caused by human mistakes are,gross error.,instrumental error.,observational error.,systematic error.,A,False,0.2499765759949936,0.24999564842175806,0.2500132917120654,0.250014483871183
