0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,paralysis of the facial muscles.,paralysis of the facial muscles and loss of taste.,"paralysis of the facial muscles, loss of taste and lacrimation.","paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.",A,False,5.468398706073383e-56,0.9974699093696934,0.002530090630306695,2.6143050688404698e-56
"A ""dished face"" profile is often associated with",a protruding mandible due to reactivation of the condylar cartilage by acromegaly.,a recessive maxilla due to failure of elongation of the cranial base.,an enlarged frontal bone due to hydrocephaly.,defective development of the maxillary air sinus.,B,False,0.9999999999887546,1.1178203825199604e-11,6.14895300767794e-14,5.728915873401676e-15
Which of the following best describes the structure that collects urine in the body?,Bladder,Kidney,Ureter,Urethra,A,False,4.040552710331991e-71,1.0,5.6632764645367734e-89,8.484820034427263e-98
Which of the following structures is derived from ectomesenchyme?,Motor neurons,Skeletal muscles,Melanocytes,Sweat glands,C,False,0.9999865713321563,1.8343805568475496e-35,2.666621306638901e-37,1.3428667843770368e-05
Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?,Afferent arteriole,Glomerulus,Loop of Henle,Renal pelvis,B,False,1.3929579909244411e-43,1.5718343144666103e-31,1.1028010342804675e-25,1.0
A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,They will be unable to breathe without life support.,They will only be able to breathe quietly.,It is impossible to predict an effect on breathing.,Breathing will be unaffected.,B,False,1.183861473320605e-22,1.7964301375697775e-20,1.0,3.0064390022104764e-25
Which of the following anatomical regions of abdomen lies just distal to the sternum?,Epigastric,Hypochondriac,Hypogastric,Lumbar,A,False,2.586722823576933e-75,1.379542131986804e-13,0.9999999999998621,6.932780641000659e-36
Which of the following best describes the human body's defense mechanism against environmental bacteria?,Hair in the nose,Mucous membranes,Osteoblasts,Saliva,B,False,2.747778722785916e-34,1.4113578738624343e-08,0.0030836848159283914,0.9969163010704929
The palatine processes begin to fuse at,six weeks post-fertilization.,eight weeks post-fertilization.,ten weeks post-fertilization.,twelve weeks post-fertilization.,C,False,3.314531163418034e-42,1.1674388818065665e-44,1.1563370532970678e-95,1.0
Primary motor cortex activity results in,bilateral contraction of antigravity limb muscles.,bilateral contraction of limb musculature.,contraction of ipsilateral limb musculature.,contraction of contralateral limb musculature.,D,False,4.50104835821116e-83,2.5732774863929384e-61,1.0,2.7184566931858748e-76
