0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,6.850677366744047e-14,0.9999619569460069,3.8043053924583855e-05,1.8588383125895345e-18
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,1.7826993087244342e-34,1.0,3.37410271006312e-26,3.0320387533563418e-31
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,2.822561924116658e-12,1.0641360893002934e-17,0.9999999999971774,2.5467402154976205e-23
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,2.3163293487894418e-43,2.7210861514447845e-31,0.9999864084278174,1.3591572182557374e-05
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,5.868346750346488e-38,2.6817280331307897e-53,1.0,2.6059150556935785e-39
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,True,4.395680947664373e-42,2.5195126928046973e-05,5.7388880461963936e-43,0.9999748048730719
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,5.139730360902073e-28,1.0,1.1929883455924645e-25,4.785525518347208e-23
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.9999995446009038,8.242913635246963e-20,4.553901476121174e-07,8.948556150072075e-12
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,3.673507313645527e-63,1.0,6.004194620682377e-81,1.987492644907197e-76
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,2.262684561759747e-21,1.0,4.147743970633907e-28,1.1788824626463754e-32
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,2.6752732687133513e-25,0.9999999113821495,1.2985564844334847e-08,7.563228562404618e-08
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,True,6.618760035423857e-09,0.006643038034259797,1.3002818923701255e-09,0.9933569540466983
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,3.592236143563903e-40,5.775134366833091e-29,1.0,8.698489417688221e-44
