0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
London dispersion forces are caused by,temporary dipoles created by the position of electrons around the nuclei in a molecule,the three-dimensional intermolecular bonding present in all covalent substances,the uneven electron-to-proton ratio found on individual atoms of a molecule,the electronegativity differences between the different atoms in a molecule,A,False,1.2272467427490825e-44,0.9999997901989051,2.0980109480061722e-07,1.5986174096968744e-37
Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.,"70 pm, 1402 kJ/mol","86 pm, 898 kJ/mol","135 pm, 523 kJ/mol","40 pm, 995 kJ/mol",A,False,7.136601285873962e-60,1.1851910706076868e-37,9.11657038337038e-54,1.0
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains",ionic bonding,nonpolar covalent bonding,covalent network bonding,metallic bonding,C,False,2.355915765747019e-68,1.0,1.4960532796159545e-63,3.998038219666537e-38
The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is,Ag+(aq) + Br-(aq) → AgBr(s),NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq),Br-(aq) + NO3-(aq) → NO3Br(aq),NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq),A,False,2.7645311661360534e-21,0.999773807517415,0.00022619248258515676,1.6335775540779996e-18
The symbol for antimony is,W,Sb,Fe,An,B,False,1.3263777730883748e-41,1.2205445835809318e-09,3.8058702096063483e-25,0.9999999987794554
"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen?",0.33 atm,0.40 atm,0.50 atm,2.0 atm,C,False,1.0229307257939117e-22,0.9999921888524568,7.952890262690846e-10,7.810352254293324e-06
Monatomic ions of the representative elements are often,very soluble,very electronegative,isoelectronic with a noble gas,highly colored,C,True,3.790494591194051e-34,2.606920594049235e-38,1.0,4.888688659209722e-44
Hund's rule requires that,no two electrons can have the same four quantum numbers,no two electrons with the same spin can occupy an orbital,no two electrons can occupy separate orbitals,no two electrons can pair up if there is an empty orbital at the same energy level available,D,False,5.475817261346775e-35,1.5735359210473412e-30,0.99999999999995,4.999244566436865e-14
All of the following ions have the same electron configuration except,Rb+,Se2-,As5+,Sr2+,C,False,4.585632767772785e-34,1.0,2.2872415778761667e-38,4.6176461864820967e-51
"Sulfurous acid is a weak acid, while sulfuric acid is a much stronger acid because",the O–H bonds in sulfuric acid are much weaker than in sulfurous acid due to the electron withdrawing of the oxygen atoms on sulfuric acid,sulfuric acid has more oxygen atoms in its formula,the sulfur in sulfuric acid is more electronegative than the sulfur in sulfurous acid,sulfuric acid has the hydrogen atoms bound directly to the sulfur atom,A,False,4.8337610080325646e-33,0.9999999999999891,1.6397260902055993e-31,1.0985234831551698e-14
What is the molarity of a sodium hydroxide solution that requires 42.6 mL of 0.108 M HCl to neutralize 40.0 mL of the base?,0.0641 M,1.64 M,0.115 M,0.400 mol/L,C,False,1.1502735284858656e-33,1.7364183407252427e-15,2.00954156557245e-11,0.9999999999799027
Which of the following substances has an asymmetrical molecular structure?,SF4,PCl5,BF3,CO2,A,False,6.721520397130808e-17,0.9999999997671811,2.3125502726850825e-10,1.563817299790718e-12
"Hydrogen fluoride, HF, is a liquid at 15°C. All other hydrogen halides (represented by HX, where X is any other halogen) are gases at the same temperature. Why?",Fluorine has a very high electronegativity; therefore the H-F bond is stronger than any other H-X bond.,HF is smaller than any other H-X molecule; therefore it exhibits stronger London dispersion forces.,The dipoles in a HF molecule exhibit a particularly strong attraction force to the dipoles in other HF molecules.,The H-F bond is the most ionic in character compared to all other hydrogen halides.,C,False,4.261567647192193e-55,5.376616221998452e-17,4.693838315470221e-50,1.0
"The reaction of Br2(g) with Cl2(g) to form BrCl(g) has an equilibrium constant of 15.0 at a certain temperature. If 10.0 grams of BrCl is initially present in a 15.0-liter reaction vessel, what will the concentration of BrCl be at equilibrium?",3.8 × 10^-3 mol/L,5.77 × 10^-3 mol/L,1.97 × 10^-3 M,9.9 × 10^-4 M,A,False,2.452359749449154e-34,7.962878116533171e-14,0.9999999999997944,1.2600899574534993e-13
