0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,inflation had already impacted the economy before the fiscal stimulus.,the economy initially had some unemployed resources.,aggregate supply decreased.,aggregate demand is steeply sloped.,B,False,2.0029452452473868e-74,8.710083229934371e-39,1.0,2.9880826959791175e-81
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,II III and IV only,I and III only,II and IV only,III and IV only,D,False,2.620874611295977e-76,1.0,2.638594451300747e-43,1.223536078764281e-28
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,The price level rises but real GDP falls.,Both the price level and real GDP rise.,The price level rises but the change in real GDP is uncertain.,Real GDP rises but the change in the price level is uncertain.,D,False,1.0309560387707277e-34,3.623381716993394e-07,0.9999996376618251,3.315195116473709e-15
Tariffs and quotas,result in lower domestic prices.,sometimes raise and sometimes lower the amount of the product sold domestically.,lower the amount of the product sold domestically.,raise the amount of the product sold domestically.,C,False,5.966271075867563e-51,1.0,2.9533125529316965e-53,3.5339802325125777e-35
A likely cause of falling Treasury bond prices might be,expansionary monetary policy.,contractionary monetary policy.,a depreciating dollar.,fiscal policy designed to reduce the budget deficit.,B,False,3.286836747930591e-61,2.6571387993467675e-21,2.7542703422441843e-46,1.0
Households demand more money as an asset when,nominal GDP falls.,the nominal interest rate falls.,bond prices fall.,the supply of money falls.,B,True,9.389280861695021e-30,0.9999999999999998,2.337764121002412e-16,9.854366478234758e-18
Allocative efficiency,means that no inferior products will be produced.,implies that the economy's output is distributed evenly.,means that those who work hardest will get more.,implies that resources are used to produce the goods and services society desires in just the right amounts.,D,False,1.6186324375677553e-32,5.4884216553274205e-24,1.0,2.7835636295357507e-36
GDP measures,production within a nation's borders.,production by a nation's citizens wherever they may be.,income earned by the factors of production plus depreciation and indirect business taxes.,(A) and (C),D,False,2.940990910479425e-22,2.567278014789956e-18,0.9999999999128024,8.719761108980616e-11
Every choice results in a foregone best alternative which economists call the,accounting cost,switching cost,inferior cost,opportunity cost,D,False,1.4262090081244752e-35,0.9999999999959359,4.064051116120306e-12,4.2601524925186075e-33
When a nation is operating at the natural rate of unemployment,there is no cyclical unemployment.,the inflation rate is zero.,there is no structural unemployment.,the nation is experiencing a recession.,A,False,3.614029455539461e-62,5.4672318478811535e-15,9.474185236167763e-20,0.9999999999999944
If a country has a negative value on its current account then it must,pay that amount to its trading partners.,have a positive value of equal magnitude on its capital account.,depreciate its currency.,appreciate its currency.,B,True,1.576438426999717e-48,0.9999999995553228,4.446772698309469e-10,2.4363670401159624e-20
Which of the following transactions would be counted in GDP?,The cash you receive from babysitting your neighbor’s kids,The sale of illegal drugs,The sale of cucumbers to a pickle manufacturer,The sale of a pound of tomatoes at a supermarket,D,False,5.8377404049687555e-55,0.9995441653564826,0.0004558346435172822,3.5296266597727015e-49
If your nominal income rises 4 percent and your real income falls 1 percent by how much did the price level change?,5 percent decrease,¼ percent increase,3 percent increase,5 percent increase,D,False,3.357549485157075e-39,2.6117610022650516e-17,1.0,8.347962840203582e-25
Economy X is an open economy with flexible exchange rates. Economy Y is closed. Ceteris paribus expansionary monetary policy is,more effective in X because the policy will increase net exports.,more effective in X because the policy will decrease net exports.,equally effective in X and Y.,less effective in X because the policy will decrease net exports.,D,False,4.9161954663654035e-17,0.9999999999999853,4.460405012908092e-20,1.4576851744207356e-14
Equilibrium real GDP is far below full employment and the government lowers household taxes. Which is the likely result?,Unemployment falls with little inflation.,Unemployment rises with little inflation.,Unemployment falls with rampant inflation.,Unemployment rises with rampant inflation.,A,False,1.159371004833736e-47,2.6587996274481452e-15,3.876025951263492e-40,0.9999999999999973
If $1000 is deposited into a checking account and excess reserves increase by $700 the reserve ratio must be:,70%.,30%.,40%.,90%.,B,False,1.7765403657185781e-47,2.3812979661255145e-31,8.769056036273999e-36,1.0
Automatic or built-in stabilizers,prevent inflation.,prevent recessions from occurring.,prevent inflation and recessions from occurring.,are government policies already in place that promote deficit spending during recessions and surplus budgets during expansions.,D,False,1.0610087576980297e-51,1.0,2.7156934570123386e-28,4.211478144633946e-32
Suppose consumers expect the price of corn to be lower in the near future while the price of seed corn and fertilizer fall. What will happen to the equilibrium price and the equilibrium quantity?,The equilibrium price will rise while the equilibrium quantity is indeterminate.,The equilibrium price will fall while the equilibrium quantity is indeterminate.,The equilibrium price is indeterminate while the equilibrium quantity will rise.,The equilibrium price is indeterminate while the equilibrium quantity will fall.,B,False,4.899937224062212e-31,6.762324642192992e-22,7.259036409054032e-23,1.0
An increase in the demand for money in the economy could result from,a recession.,a higher price level.,higher interest rates.,expected future inflation.,B,True,8.856986077676938e-50,1.0,7.616806761978532e-64,6.417370149652809e-42
An increase in the consumer price index is commonly referred to as,economic growth.,inflation.,unemployment.,discouraged workers.,B,False,7.657382446007688e-47,5.873389886652421e-16,2.72121621169056e-35,0.9999999999999993
GDP measures I. production II. income earned during the production process III. spending by consumers businesses governments and foreigners,Only I is correct.,Only II is correct.,Only III is correct.,I II and III are correct.,D,True,8.054246820572433e-08,2.8225897455272626e-17,4.855262587187143e-05,0.9999513668316599
The economy is currently operating at full employment. Assuming flexible wages and prices how would a decline in aggregate demand affect GDP and the price level in the short run and GDP and the price level in the long run? SHORT-RUN GDP     SHORT-RUN PRICE LEVEL     LONG-RUN GDP     LONG-RUN PRICE LEVEL,Falls     Falls     No change     Falls,Falls     Falls     Falls     Falls,No change     Falls     No change     No change,Falls     Falls     No change     No change,A,True,0.999499832393522,1.4523092789981224e-19,3.345301603642368e-08,0.0005001341534619525
If the economy is operating at full employment which of the following policies will create the most inflation in the short run?,An increase in government spending matched by an equal increase in taxes,An increase in government spending with no change in taxes,A decrease in government spending and a matching increase in taxes,A decrease in taxes with no change in government spending,B,False,1.8041694083746784e-43,1.941223333431637e-08,2.33829296673628e-10,0.9999999803539373
The real interest rate is,what one sees when looking at bank literature,the nominal interest rate divided by the inflation rate,the nominal interest rate plus the anticipated inflation rate,the nominal interest rate minus anticipated inflation,D,True,1.666369080811959e-97,6.759391766430047e-63,1.5623079644462782e-13,0.9999999999998437
Which of the following would be an example of fiat money?,Cigarettes used as money in prisons,Dollar bills,Gold coins,Arrowheads used as a medium of exchange,B,False,1.7666669775768698e-73,1.7175059279280733e-70,1.0,5.430054670120005e-35
Which of the following fiscal policies is likely to be most effective when the economy is experiencing an inflationary gap?,The government decreases taxes and keeps spending unchanged.,The government increases spending and keeps taxes unchanged.,The government increases spending matched with an increase in taxes.,The government increases taxes and decreases spending.,D,True,1.2072690026535133e-24,0.03284943643708448,9.412223912781058e-09,0.9671505541506916
Among those hurt by inflation are I.   borrowers at fixed interest rates II.   individuals on fixed incomes III.   those with savings earning fixed interest rates IV.   restaurant owners,I and II only,II and III only,II and IV only,II III and IV only,D,True,9.204518453705371e-33,9.193915946840353e-19,5.496748142812667e-06,0.9999945032518572
Required reserves,can be used by banks to make loans or buy investments.,can be held in a bank's vault or its account at the FED.,must be kept in a bank's vault.,must be used to make loans.,B,False,7.43769329149668e-61,9.700146023918375e-46,1.0,2.270488147494914e-62
Potential GDP will fall ceteris paribus if,the unemployment rate rises.,the retirement age is lowered.,tariffs protecting domestic jobs are eliminated.,more immigration is allowed.,B,True,2.2862628014566502e-92,0.9999999987596895,8.437176370437905e-24,1.2403105390383132e-09
Contractionary monetary policy implies which of the following about the discount rate the nominal interest rate and aggregate demand? Discount rate      Nominal interest rate      Aggregate demand,Decreases            Increases      Decreases,Increases            Increases      Decreases,Decreases            Decreases      Decreases,Increases            Increases      Increases,B,False,5.733461859273057e-23,7.594521239461877e-18,1.1795941927841213e-21,1.0
Which of the following is a fundamental economic question?,Who will get how much of each good and service?,Who should pay taxes?,Who will work?,Who will make the economic decisions?,A,False,1.56105989360278e-28,9.124870413584611e-10,1.1285362603329466e-20,0.999999999087513
Fisher's Hypothesis states that,the real interest equals the nominal interest rate plus the inflation rate.,the nominal interest rate equals the real interest rate minus the inflation rate.,the nominal interest rate equals the unemployment rate plus the real interest rate.,the nominal interest rate equals the real interest rate plus the inflation rate.,D,False,8.108929828696524e-11,2.2096492392589134e-06,0.999997790250643,1.9028455503890338e-11
The best example of a negative supply shock to the economy would be,a decrease in government spending.,a decrease in the real interest rate.,an increase in the money supply.,unexpectedly higher resource prices.,D,False,8.821939659263266e-46,1.0,1.6276507666187296e-17,4.587516257043132e-31
According to Say's law,when price goes up supply goes up,it is better to give than receive,demand creates its own supply,supply creates its own demand,D,True,3.4512595739035415e-52,4.053100779111019e-31,3.5209055900203025e-53,1.0
What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume an upward sloping aggregate supply curve.,The equilibrium price level increases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,The equilibrium price level and quantity of output increase.,The equilibrium price level and quantity of output decrease.,A,False,4.1864685063233203e-76,1.0,1.0326215823410235e-56,2.69108565076554e-67
The Federal Open Market Committee,advises the President of the United States.,is part of the Federal Reserve System.,has seven members.,promotes free trade.,B,False,1.621412155298635e-26,1.0530614604932094e-58,1.0,4.01459131159858e-28
An increase in the price of forklifts imported into the United States from Belgium will,increase the consumer price index and the GDP deflator.,increase the consumer price index but not the GDP deflator.,increase the GDP deflator but not the consumer price index.,have no effect on the consumer price index or the GDP deflator.,D,False,2.5666610092611034e-49,1.0,2.439422950401476e-53,6.133599439456213e-44
Theo loses his job at the public swimming pool when the pool closes for the winter. This is an example of,cyclical unemployment.,discouraged worker.,seasonal unemployment.,frictional unemployment.,C,False,1.4008199475132885e-40,0.9999999999960769,2.1608495361532072e-35,3.923159010537938e-12
Keynes,advanced Classical economic theory by making several refinements.,showed how Say's Law operated in capitalist economies.,was a great American economist.,explained the cause of and cure for the Great Depression.,D,False,1.4763690701008725e-37,1.3715763371422808e-21,1.0,6.114048060029319e-37
Assume commercial banks save no excess reserves and the reserve requirement is 20 percent. How much money is created in new loans from all banks after this bank receives a deposit of $1000 ?,$800 ,"$1,000 ","$4,000 ","$5,000 ",C,False,3.829056665337202e-23,0.9999997877139937,2.1228600628382731e-07,4.910423830770042e-18
Which of the following policies is most likely to bring about economic growth in the long run?,Imposing tariffs to protect domestic industries from foreign competition.,Placing taxes on savings.,Increasing government spending.,Promoting improvements in the education of the population.,D,False,6.125195824593357e-80,2.791339423017244e-06,0.9999972086605768,2.48568214947122e-36
When a country has a balance of trade deficit,it must make up the difference by shipping gold to its creditors.,its exports exceed its imports.,its currency will appreciate.,its imports exceed its exports.,D,False,5.205838432284271e-29,0.9999999945244145,5.475585486532578e-09,5.911560739505571e-28
National income measures,household income in the nation.,income earned by the factors of production.,GDP minus depreciation and indirect business taxes.,(B) (C) and (D).,D,True,4.160170338500232e-20,1.1757500349299072e-14,1.432531991337482e-20,0.9999999999999882
Assume the reserve requirement is 10 percent. If the FED sells $29 million worth of government securities in an open market operation then the money supply can,increase by $2.9 million.,decrease by $2.9 million.,increase by $290 million.,decrease by $290 million.,D,False,4.2983034981606477e-47,1.160562421419587e-17,1.0,1.7169210772133193e-29
"The ""crowding-out"" effect refers to which of the following?",Lower interest rates that result from borrowing to conduct expansionary monetary policy,Higher interest rates that result from borrowing to conduct contractionary fiscal policy,Higher interest rates that result from borrowing to conduct expansionary fiscal policy,Higher interest rates due to borrowing to conduct contractionary monetary policy,C,True,1.9866650630681847e-35,0.313812279926966,0.686187720073034,1.0654096957257232e-41
Suppose transfer payments are greater than Social Security contributions corporate taxes and retained earnings combined. In that case,NDP will be greater than GDP.,NI will be greater than GDP.,PI will be greater than NI.,DPI will be greater than PI.,C,False,1.2198800900401123e-24,0.9999999775392173,2.246078268107433e-08,7.631093216716288e-21
The FED's Board of Governors has members each serving -year terms.,14 7,7 14,8 8,50 2,B,True,6.451487313572528e-76,1.0,5.448109965978118e-26,6.218396641143756e-35
Which of the following would lead to a decrease in the money supply?,The FED lowers the discount rate.,The FED sells government securities in the secondary market.,The federal government spends less money.,The FED lowers reserve requirements.,B,True,1.8966006895902547e-07,0.9999986805501194,3.586887918554904e-23,1.1297898114974105e-06
Which of the following insures the value of the U.S. dollar?,The euro and other foreign currencies held by the Federal Reserve,Gold bars in secure locations like Fort Knox,The promise of the U.S. government to maintain its value,The value of the actual paper on which it is printed.,C,False,2.4819458166725285e-59,1.2945084125026347e-45,1.2453106494197892e-19,1.0
In what ways is contractionary fiscal policy in the United States likely to affect domestic interest rates and the international value of the dollar?,Interest rates increase and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,Interest rates increase and the dollar appreciates.,Interest rates decrease and the dollar depreciates.,D,False,1.4601596146726832e-30,6.55765007509746e-10,0.9999999993433533,8.816582931122312e-13
Which of the following results from stagflation?,Unemployment decreases,The price level decreases,The aggregate supply curve shifts to the right,The Phillips curve shifts to the right,D,False,3.7875714881482943e-62,1.6250622281036918e-15,0.9999999999999984,2.5790215074051447e-46
What does the presence of discouraged workers do to the measurement of the unemployment rate?,"Discouraged workers are counted as ""out of the labor force"" thus the unemployment rate is understated making the economy look stronger than it is.","Discouraged workers are counted as ""out of the labor force"" thus the unemployment rate is understated making the economy look weaker than it is.",Discouraged workers are not surveyed so there is no impact on the unemployment rate.,"Discouraged workers are counted as ""unemployed"" thus the unemployment rate is understated making the economy look stronger than it is.",A,False,1.390513699840527e-61,1.0,5.54582840927433e-17,2.173884314743589e-27
Which of the following statements is true?,Some of the things included in M2 are not as liquid as the things in MI.,M2 is smaller than MI.,M I is backed by gold and M2 is backed by silver.,The biggest component of M I is currency.,A,False,6.171102336387143e-79,1.0,2.1258484085575012e-87,4.785881663574855e-22
To close an expansionary gap,the aggregate demand curve should be shifted to the right.,the aggregate demand curve should be shifted to the left.,the aggregate supply curve should be shifted to the right.,the aggregate supply curve should be shifted to the left.,B,False,5.125253207401442e-34,5.352924279993443e-09,0.9999999946470584,1.7233582028537234e-14
If the short-run aggregate supply curve is horizontal it is because,there exist many unemployed resources so that output can be increased without increasing wages and prices.,any increase in output requires a corresponding increase in wages and prices.,increases in output cause prices to increase but wages adjust much less quickly.,falling interest rates increase the demand for goods and services putting upward pressure on prices.,A,False,3.2315918113883887e-22,7.469899507650634e-26,1.3281641392051202e-18,1.0
In the equation GDP = C + I + G + X X stands for,exports.,expenditures.,exports minus imports.,imports minus exports.,C,True,1.108378783083927e-81,8.234235448622402e-50,1.0,9.657499635374329e-22
Which of the following represents a combination of contractionary fiscal and expansionary monetary policy? FISCAL POLICY     MONETARY POLICY,Higher taxes     Selling Treasury securities,Lower taxes     Buying Treasury securities,Lower government spending     Increasing the reserve ratio,Higher taxes     Buying Treasury securities,D,False,3.341959972468303e-54,4.476157805598304e-43,0.9999999984426811,1.557318909613044e-09
Inflation,hurts creditors who do not anticipate it.,hurts creditors who anticipate it.,hurts debtors.,both A and D are correct.,D,False,9.129580434658108e-59,3.008051576624873e-54,1.0,5.379547208199892e-48
Stagflation most likely results from,increasing AD with constant SRAS.,decreasing SRAS with constant AD.,decreasing AD with constant SRAS.,a decrease in both AD and SRAS.,B,False,1.1975365337528991e-69,1.2876044194863972e-25,1.0,1.7072738568740447e-28
Which group of people will suffer the most from a rising price level?,debtors with fixed interest rates,people with fixed money incomes,investors in gems coins and stamps,property owners,B,False,1.416677215690443e-94,3.005859498079277e-44,1.0,2.1099350573154098e-66
Which of the following lists contains only Fed actions that will increase the money supply?,Raise reserve requirements; lower the discount rate; sell bonds.,Raise reserve requirements; lower the discount rate; buy bonds.,Raise reserve requirements; raise the discount rate; sell bonds.,Lower reserve requirements; lower the discount rate; buy bonds.,D,False,3.2459742143236425e-25,1.0,4.1406213234989055e-19,5.128772705819005e-25
The government measures inflation using the,GNP,URL,CPI,FED,C,False,0.9999999989821484,1.0166007069521695e-09,3.663912364263007e-15,1.2470276276670395e-12
