0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,paralysis of the facial muscles.,paralysis of the facial muscles and loss of taste.,"paralysis of the facial muscles, loss of taste and lacrimation.","paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.",A,False,5.047554374665e-69,0.8790232850963143,0.12097646901598642,2.4588769916793673e-07
"A ""dished face"" profile is often associated with",a protruding mandible due to reactivation of the condylar cartilage by acromegaly.,a recessive maxilla due to failure of elongation of the cranial base.,an enlarged frontal bone due to hydrocephaly.,defective development of the maxillary air sinus.,B,True,9.836029468772059e-59,0.996109792152396,0.003890207846318486,1.2855575758569943e-12
Which of the following best describes the structure that collects urine in the body?,Bladder,Kidney,Ureter,Urethra,A,False,4.121906100850178e-70,0.0015367030490849027,0.9984629066011728,3.903497424468036e-07
Which of the following structures is derived from ectomesenchyme?,Motor neurons,Skeletal muscles,Melanocytes,Sweat glands,C,True,8.329577903180462e-66,6.997271722830965e-06,0.9999896196882765,3.383040000601536e-06
Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?,Afferent arteriole,Glomerulus,Loop of Henle,Renal pelvis,B,False,2.6023023361597215e-61,0.032868571546309865,0.967119773778671,1.1654675019051027e-05
A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,They will be unable to breathe without life support.,They will only be able to breathe quietly.,It is impossible to predict an effect on breathing.,Breathing will be unaffected.,B,False,8.612599985508185e-68,3.287088947152468e-07,0.9999996601843497,1.1106755447078757e-08
Which of the following anatomical regions of abdomen lies just distal to the sternum?,Epigastric,Hypochondriac,Hypogastric,Lumbar,A,False,5.859872443967349e-79,0.0009595588636996671,0.9990379078358502,2.533300450003961e-06
Which of the following best describes the human body's defense mechanism against environmental bacteria?,Hair in the nose,Mucous membranes,Osteoblasts,Saliva,B,False,1.3151054673609716e-76,8.540585427574173e-12,8.392691739058846e-06,0.9999916072997203
The palatine processes begin to fuse at,six weeks post-fertilization.,eight weeks post-fertilization.,ten weeks post-fertilization.,twelve weeks post-fertilization.,C,True,2.19861985943823e-61,5.8825311943795384e-09,0.9999999940942952,2.3173618968139078e-11
Primary motor cortex activity results in,bilateral contraction of antigravity limb muscles.,bilateral contraction of limb musculature.,contraction of ipsilateral limb musculature.,contraction of contralateral limb musculature.,D,False,1.0058921585118723e-67,9.727667824359372e-05,0.9999027219640111,1.3577452432633872e-09
You notice that your patient's submandibular lymph nodes are enlarged. You would look for potential infection sites in the,hard palate.,hard palate and upper lip.,"hard palate, upper lip and upper central incisor.","hard palate, upper lip, upper central incisor and lower first molar.",D,False,4.7081861919075845e-63,4.4401002444205515e-06,0.9999954973698228,6.252993283843994e-08
A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?,Pupillary constriction and a medial strabismus,Pupillary dilatation and a medial strabismus,Pupillary constriction and a lateral strabismus,Pupillary dilatation and a lateral strabismus,D,False,4.898163072344203e-79,1.060852354685426e-05,0.9999893913679664,1.084868311118241e-10
Which of the following statements is true of the temporomandibular joint?,It has an articular disc of hyaline cartilage,Its articular surfaces are covered by hyaline cartilage,Proprioceptive information is carried by the chorda tympani and deep temporal nerves,Proprioceptive information is carried by the masseteric and auriculotemporal nerves.,D,False,3.3545460453077463e-66,4.971854074883692e-10,0.999999999366268,1.3654655879561943e-10
Laryngoscopic examination of the vocal folds after suspected recurrent laryngeal nerve damage usually shows that the vocal fold on the injured side is tensed and in an intermediate position between adduction and abduction. This is because,cricothyroid muscle is still functional but the interarytenoid muscles are fully active.,cricothyroid muscle is still functional but the interarytenoids are weak.,cricothyroid muscle is paralyzed but the interarytenoids are fully active.,cricothyroid muscle is paralyzed but the interarytenoids are weak.,B,False,6.222935962377488e-52,0.4041892287022283,0.01306959195978867,0.582741179337983
Which one of the following statements about the growth of the mandible is correct?,The mental symphysis closes at about 1 year postnatally,The condylar growth cartilage ceases activity at puberty,The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage,The functional matrix acting on the angle of the mandible is the lateral pterygoid muscle,A,False,2.3437540686110788e-35,0.006663865576539442,0.9933308062110299,5.328212430705238e-06
Which of the following statements is true of the pupillary light reflex?,Its efferent limb is carried in the optic nerve,It is mediated by the inferior colliculi in the midbrain,It is a consensual reflex,Its afferent limb is carried in the oculomotor nerve,C,True,1.6403546817591607e-51,0.0004265763003947798,0.9995733854645478,3.8235057397582475e-08
Which muscles are normally active during quiet inspiration?,External and internal intercostal muscles,External intercostal muscles and diaphragm,Internal intercostal muscles and diaphragm,External and internal intercostal muscles and diaphragm,B,False,2.503346585860488e-76,2.644765722409699e-10,0.9999999903059588,9.429564693450936e-09
Male hormones are produced by which of the following?,Glans penis,Prepuce,Prostate,Testes,D,False,8.69691556825673e-65,0.09572755052926019,0.9042689876890598,3.4617816801152343e-06
Oxygenated blood is carried to the heart by which of the following structures?,Aorta,Carotid arteries,Inferior vena cava,Pulmonary veins,D,False,3.369478972470446e-45,0.9970767148993004,0.002897651521431086,2.5633579268570065e-05
Which of the following allows air to pass into the lungs?,Aorta,Esophagus,Trachea,Pancreas,C,True,6.564073083582433e-65,0.09170414657863193,0.9082928646684941,2.9887528739448993e-06
Where is the sinoatrial node located?,Between the left atrium and the left ventricle,Between the right atrium and the right ventricle,In the upper wall of the right atrium,In the upper wall of the left ventricle,C,True,3.356333716859521e-37,1.0337176232090906e-05,0.999987769134554,1.8936892138761411e-06
"In relation to the rib, the corresponding intercostal nerve lies",deep to its superior border.,superficial to its superior border.,deep to its inferior border.,superficial to its inferior border.,C,True,1.900645754412448e-74,0.027520276972729164,0.9724797230017896,2.5481220299293994e-11
The regional lymphatic drainage of the left side of the tip of the tongue is to the,left submental lymph node.,left and right submental lymph nodes.,left submandibular lymph node.,left and right submandibular lymph nodes.,B,False,1.1945594487290301e-57,0.00018111692572978105,0.9998127007059897,6.182368280410646e-06
Gastrulation is the process of,mesoderm formation and occurs after neurulation.,ectomesenchyme formation and occurs before neurulation.,mesoderm formation and occurs before neurulation.,ectomesenchyme formation and occurs after neurulation.,B,False,8.678157043243964e-70,1.6728191914704396e-09,0.999999997946992,3.8018870452712595e-10
The spheno-occipital synchondrosis,is a secondary growth cartilage.,influences the position of the viscerocranium.,ceases activity at 7 years of age.,can be reactivated in patients affected by acromegaly.,B,False,1.6040146989948986e-39,0.004332555038594523,0.9956674393153165,5.646088746006714e-09
Which of the following substances is found in greater quantity in exhaled air?,Carbon dioxide,Carbon monoxide,Nitrogen,Oxygen,C,True,3.087756023347757e-71,6.976892409729041e-07,0.9999992861812019,1.6129557022316764e-08
Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?,Glomerulonephritis,Interstitial nephritis,Nephrolithiasis,Polycystic kidney,C,True,9.925604449222245e-71,2.401884788753889e-10,0.9999999958204577,3.9393537509654215e-09
A pulse may be felt on a patient's face where the,facial artery crosses the mandible.,facial artery crosses the maxilla.,superficial temporal artery crosses the maxilla.,superficial temporal artery crosses the orbital rim.,A,False,5.911926163277513e-73,0.000111983626482652,0.9998880152327945,1.1407228571626428e-09
A patient sustains severe blunt trauma to the left upper abdomen and requires surgery. Which one of the following organs is most likely to be involved?,Appendix,Gallbladder,Spleen,Urinary bladder,C,False,1.852158593807153e-84,0.9428780241082749,0.05711973587880619,2.240012918837631e-06
Which statement concerning the atrioventricular bundle is correct?,It is formed of autonomic nerve processes and is the only electrical connection between the atria and the ventricles.,It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles,It is formed of autonomic nerve processes and forms one of several electrical connections between the atria and ventricles.,It is formed of Purkinje fibres and forms one of several electrical connections between the atria and ventricles.,B,False,3.0293103634153524e-38,9.142113443357962e-07,0.31238938410094513,0.6876097016877106
Which of the following terms describes the motion of bending the forearm toward the body?,Abduction,Eversion,Flexion,Pronation,C,True,1.88987404212464e-79,0.02741714443187187,0.9725827365383395,1.1902978870348484e-07
Food is prevented from entering the larynx during the pharyngeal phase of swallowing by,constriction of the laryngeal entrance.,upward movement of the epiglottis.,downward movement of the larynx.,increase in respiratory rate.,A,False,5.657741418002697e-52,4.273192576893714e-09,0.9999999280267483,6.77000591777757e-08
At which of the following locations does bile enter the digestive tract?,Gastroesophageal sphincter,Duodenum,Ileocecum,Jejunum,B,False,9.927686027247129e-73,6.483677506136086e-09,0.999995417502654,4.5760136685504045e-06
