0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,18 gauge.,20 gauge.,22 gauge.,24 gauge.,A,False,7.133635236763313e-71,2.0371336793451634e-08,0.9999999796286632,5.848410804198636e-31
The key attribute in successful marathon running is:,strength.,power.,stride length.,stamina.,D,False,2.8420689686322858e-43,0.0004515204119804107,0.9995484795880196,2.3135356549598007e-17
Which of the following is the commonest cause of dementia in the UK?,Alzheimer's disease.,Cerebrovascular (stroke) disease.,Lewy body dementia.,HIV infection.,A,False,1.2047653439097107e-46,0.999924019850791,7.598014920891386e-05,2.6468410004999266e-21
Which of the following is NOT a symptom of anaphylaxis?,Stridor.,Bradycardia.,Severe wheeze.,Rash.,B,True,4.7765973632085387e-51,0.99998982166822,1.0178331743082935e-05,3.6880062494972016e-14
In what situation are closed pouches applied?,The patient has a semi-formed or liquid output.,The patient has a colostomy.,In the immediate post-operative period.,The patient has a urostomy.,B,False,1.8443549971627468e-29,0.1387186416655243,0.861281358238457,9.601863559086974e-11
With an increasing number of sprints the:,anaerobic contribution progressively increases.,pH of the muscle falls below 6.0.,blood glucose concentration falls below 3 mmol/L.,relative contribution of aerobic metabolism increases.,D,False,1.1285441107666573e-33,0.9999999800653172,1.993377635652375e-08,9.063221471937794e-13
Which of the following is true in diplopia?,Diplopia can never occur if one eye is covered,The outer image is always the false image,A fourth nerve palsy occurs when the patient looks upwards,A sixth nerve palsy causes a divergent squint,B,True,5.7137417847722016e-30,0.9999999729440986,2.7051540649899477e-08,4.360842950664307e-12
Sodium bicarbonate ingestion improves middle distance running performance by:,elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.,elevating the pre-exercise muscle pH.,A,False,4.4932621339312836e-52,0.9999999911487697,8.85123039915337e-09,1.513378426440411e-23
Codons are composed of:,triplet sequences of nucleotide bases in mRNA or DNA .,quadruplet sequences of nucleotide bases in mRNA or DNA.,triplet sequences of amino acids in polypeptide chains.,triplet sequences of deoxyribose sugars in DNA.,A,False,1.1867285740396973e-55,0.9999999998488891,1.5111097852426818e-10,2.4874932512875924e-27
Fatty acids are transported into the mitochondria bound to:,thiokinase.,coenzyme A (CoA).,acetyl-CoA.,carnitine.,D,False,1.0391752873948942e-58,5.127588207713616e-16,0.9999999999999996,1.9732198329312838e-26
Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?,"Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative).",Blood type B (rhesus positive) and blood type O (rhesus positive).,Blood type B (rhesus negative) and blood type O (rhesus negative).,Blood type B (rhesus negative) only.,C,False,3.5479478616118447e-29,0.9999999999998923,7.064097215117052e-14,3.717494137775419e-14
Which of the following is true of a lower motor neurone lesion in the arm?,It leads to increased tone in the arm (hypertonia),Fasciculations are never seen,The reflexes are brisk,An ulna nerve palsy is an example of a lower motor neurone lesion,D,False,1.9513613581255003e-49,0.9999997945021963,1.9035102725832679e-07,1.5146776335448918e-08
Which of the following statements is false?,Ammonia is produced in repeated high intensity exercise.,Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.,Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.,With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.,B,True,4.213546273790075e-38,0.9999999987081145,1.291885461986043e-09,5.309378508645322e-24
Glycogen breakdown in muscle initially results in the formation of:,glucose.,glucose-1-phosphate.,glucose-6-phosphate.,"glucose-1,6-diphosphate.",B,True,8.208552434270473e-45,0.6631629757600397,0.3368370242399602,5.557270889764323e-29
The two principal contractile proteins found in skeletal muscle are:,actin and troponin.,actin and myosin.,troponin and tropomyosin.,myosin and tropomyosin.,B,True,8.161043098196876e-49,0.9783208430986178,0.02167915690138205,2.331805073004872e-16
Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?,Unilateral constricted pupil.,Bilateral constricted pupils.,Unilateral fixed dilated pupil.,Oval shaped pupils.,C,False,5.22124003860233e-38,0.9999832678954015,1.6732030566501304e-05,7.403195433411132e-11
Which of the following is true about a thyroid swelling?,It always elevates on swallowing,Lymph node enlargement is a good prognostic sign,An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone,A functioning nodule on isotope scanning is unlikely to be due to cancer,D,False,2.256284950460622e-67,0.9999999998335958,1.664041641913099e-10,1.7247512740767003e-21
Which of the following is true of hepatomegaly?,Emphysema is a cause,The liver enlarges downwards from the left hypochondrium,"The presence of jaundice, spider naevi and purpura suggest alcohol as a cause",The liver is usually resonant to percussion,C,False,2.0944167116722802e-56,0.9999999999968872,3.112941923189066e-12,2.55703429643129e-27
Which of the following is true regarding reflexes?,A positive babinski reflex is the same as a normal flexor response in the assessment of the plantar reflex,An extensor plantar response indicates a lower motor neurone lesion,The root value of the ankle reflex is S1,"The root value of the knee reflex is L1, L2",C,True,1.2890052446005429e-62,1.053498019122252e-07,0.9999994269258059,4.677243920221088e-07
Which of the following is true of facial nerve palsy?,Bells palsy is another term for an upper motor neurone lesion,Ramsay Hunt Syndrome is an upper motor neurone lesion secondary to a Herpes Zoster infection,An inability to close the eyelid on the paralysed side indicates a lower motor neurone lesion,In Bell's Palsy the sense of taste is never affected,C,False,3.137955579672665e-61,0.999801820328115,0.00019817967188501864,7.613394788720445e-19
What is a colles fracture?,Hand fracture.,Elbow fracture.,Finger fracture.,Fracture of the radius and ulna at the wrist.,D,False,1.0543372273498558e-34,0.9999740215176389,2.5867033506049496e-05,1.1144885497182527e-07
"If a transfusion reaction is suspected, you should:","turn off the transfusion, inform medical staff immediately, and follow transfusion policy advice on dealing with acute transfusion reactions.",leave the transfusion running and contact the medical staff immediately.,disconnect and dispose of the blood bag immediately.,leave the transfusion running and record a set of observations on the patient.,A,False,8.417033398661832e-45,0.26268221854132795,4.6762036781566354e-12,0.7373177814539957
"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",30 minutes.,90 minutes.,4 hours.,12 hours.,A,False,2.596013995370217e-72,1.3670771101683924e-16,0.9999999999999998,9.956328271732263e-41
Which of the following statements is true about informal carers (as of 2020)?,50% of over 65s are providing informal care.,One in six over 65s is providing some form of informal care.,Informal carers should not be included in discharge planning.,The majority of informal carers are fit and active.,B,True,7.2054052534539e-63,0.9999999999999991,8.654113583721985e-16,1.0499295746194876e-19
Which of the following processes is not used to modify protein structure after translation has occurred?,Lipidation.,Attachment of more amino acids via peptide bonds.,Glycosylation.,Phosphorylation.,B,True,3.259821179233784e-52,1.0,1.840041267467929e-28,5.757846607721819e-32
Why would you need to carry out a bladder washout for a patient at home?,When their urine is clear.,When the catheter is blocked.,When the catheter is bypassing.,When the catheter is dirty.,B,True,5.2864383867682655e-50,0.999988073351054,1.1926648945979138e-05,9.729616500407333e-19
A 14-16 gauge needle is most likely to be used for:,children.,elderly patients.,inserting in the back of the hand.,trauma or burns patients.,D,False,8.696962990713611e-72,0.9800093372982749,6.408732315499691e-05,0.019926575378569965
Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?,More prominent in expiration,Alters with coughing,No pain over the area,Clubbing,A,False,1.2724926850964152e-61,0.9999999999986335,1.7304883819723448e-32,1.3665167889570775e-12
In games like soccer the blood lactate concentration:,rarely increases above 3 mM.,is usually lower at the end of the game than at the end of the first half.,is usually higher at the end of the game than at the end of the first half.,increases throughout the course of the game as the players become more fatigued.,B,True,3.314000562387682e-53,0.9999999960800738,3.919926250049167e-09,8.423622233009372e-20
