0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,1.947361193504464e-35,0.986408551140081,4.840601614445343e-10,0.013591448375858852
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,8.654382254714745e-35,0.7383703609301001,2.5700546969533475e-09,0.2616296364998451
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,1.2215628161446217e-30,0.12523961364411304,0.25992926904892805,0.614831117306959
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,5.550711054569354e-55,0.9984324859073783,0.0015675140838758044,8.745820307980706e-12
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,False,3.6948393595399366e-64,0.9999999997313318,2.6866812051542117e-10,5.2633187359067075e-17
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,1.4096035869396015e-43,0.9453527412668987,0.0546420834402482,5.175292853200306e-06
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,2.426540959490309e-66,0.9999999928405774,3.776135036139453e-15,7.159418722396916e-09
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,9.245476354883373e-34,0.0007531501442955267,9.420914883634491e-06,0.9992374289408209
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,1.0396679104391104e-75,0.9998693853562431,0.00013008731287708134,5.273308798027918e-07
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,4.7941496153506994e-54,0.9999999997855509,4.815667878019086e-11,1.6629248013332682e-10
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,1.9416414981507692e-42,0.9999847145669354,8.01013629304638e-07,1.44844194351772e-05
