0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"Identify the conclusion of the following argument. It is hard not to verify in our peers the same weakened intelligence due to emotions that we observe in our everyday patients. The arrogance of our consciousness, which in general, belongs to the strongest defense mechanisms, blocks the unconscious complexes. Because of this, it is difficult to convince people of the unconscious, and in turn to teach them what their conscious knowledge contradicts. (Sigmund Freud, The Origin and Development of Psychoanalysis)",It is hard not to verify in our peers the same weakened intelligence due to emotions that we observe in our everyday patients.,"The arrogance of our consciousness, which in general, belongs to the strongest defense mechanisms, blocks the unconscious complexes.","Because of this, it is difficult to convince people of the unconscious, and in turn to teach them what their conscious knowledge contradicts.","It is difficult to convince people of the unconscious, and in turn to teach them what their conscious knowledge contradicts.",D,False,0.07652282500312975,0.9234504735006853,2.669956217399515e-05,1.934010932470103e-09
Select the best translation into predicate logic. David teaches Chris. (c: Chris; d: David; Txy: x teaches y),Tdc,Tcd,Tcc,dTc,A,False,3.824012432287241e-15,0.9999999999996718,3.235276924347857e-13,8.480006800715368e-16
" Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∃x)[(Ax • Lx) • (∃y)(Hy • Bxy)]",Some large houses are bigger than some apartments.,Some houses are bigger than all large apartments.,Some large apartments are bigger than some houses.,Some houses are bigger thatn some large apartments.,C,False,0.0010620144746576396,0.99889420844661,4.377441613918565e-05,2.6625932312002053e-09
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~G ⊃ H
~H / G",Valid,Invalid. Counterexample when G and H are true,Invalid. Counterexample when G is true and H is false,Invalid. Counterexample when H is true and G is false,A,False,8.746688081282765e-12,0.9998484620256849,0.00015153790162013753,6.394824472424312e-11
" Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D",If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.,Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,B,True,0.0014115289094678793,0.9974530361408711,0.0011354074407110952,2.7508949839208386e-08
" Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∃x)[Hx • (∀y)(Ay ⊃ Bxy)]",Some houses are smaller than all apartments.,Every house is bigger than every apartment.,Some apartment is smaller than every house.,Some houses are bigger than every apartment.,D,False,0.005730472389786578,0.9942368814461903,3.264573428824854e-05,4.297349282253833e-10
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~K ≡ L / (K · L) ∨ (K · ~L)",Valid,Invalid. Counterexample when K and L are true,Invalid. Counterexample when K is true and L is false,Invalid. Counterexample when L is true and K is false,D,False,1.7383974185826648e-12,0.9999435730227192,5.64269672322373e-05,8.310214780573836e-12
"Identify the antecedent of the following conditional proposition: If the university does not increase financial aid, either the president fails to approve it or the board of trustees prevents it.",The university increases financial aid.,The university does not increase financial aid.,The board of trustees prevents it.,The president fails to approve it.,B,True,0.0006286047565609862,0.9992654439726794,0.00010560849422235905,3.427765374350483e-07
" Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
~E ⊃ ~F
G ⊃ F
H ∨ ~E
H ⊃ I
~I",E ⊃ F,F ⊃ G,H ⊃ ~E,~H,D,False,4.824266463362784e-13,0.9999996905821769,3.094172055007923e-07,1.3507292426025107e-13
" Which of the given formulas of PL is the best symbolization of the following sentence?
Everybody loves Raymond, or not.",L,~L,L • ~L,L ∨ ~L,D,False,1.2424259987682295e-19,0.9999999999998839,1.1618640642727227e-13,8.855848293319601e-19
 Select the best translation into predicate logic. All kings are luckier than all paupers. (Kx: x is a king; Px: x is a pauper; Lxy: x is luckier than y),(∀x)[Kx ⊃ (∀y)(Py ⊃ Lxy)],(∀x)[Kx ⊃ (∀y)(Lxy ⊃ Py)],(∀x)(∀y)[(Kx • Py) ⊃ Lyx],(∀x)[(Kx • (∀y)(Py)) ⊃ Lxy],A,False,7.652798219770305e-14,3.0074516477429604e-05,0.9999699188638438,6.619602353157296e-09
" Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
(~M ⊃ ~N) ∨ (O ≡ N) and (~M · N) · [(~O ∨ ~N) · (O ∨ N)]",Logically equivalent,Contradictory,"Neither logically equivalent nor contradictory, but consistent",Inconsistent,B,True,1.0768177726554755e-08,0.9774105134758583,0.022589409816023902,6.593993986541932e-08
"Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
E ⊃ ~F
~F ⊃ G
~G",E ⊃ F,F ⊃ G,G ⊃ E,~~F,D,False,3.6790844394400794e-11,0.9999999993882169,5.730367534313915e-10,1.955459691918919e-12
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
E ⊃ (F ∨ ~G)
F ⊃ (~E ∨ ~G) / ~(E ≡ F)",Valid,"Invalid. Counterexample when E, F, and G are true",Invalid. Counterexample when E and F are true and G is false,"Invalid. Counterexample when E, F, and G are false",C,False,2.5488202691732404e-11,0.9999996891325891,3.108410015926356e-07,9.210316979745161e-13
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
H ≡ (~I ∨ J)
H ∨ ~J / ~I",Valid,"Invalid. Counterexample when H, I, and J are false",Invalid. Counterexample when H and I are true and J is false,Invalid. Counterexample when I is true and H and J are false,D,False,1.5118841351085346e-10,0.9999858783353464,1.4121512552033582e-05,9.133131125718529e-13
 Select the best translation into predicate logic. Some firefighters rescue victims from danger. (Dx: x is danger; Fx: x is a firefighter; Vx: x is a victim; Rxyz: x rescues y from z),(∃x){Fx • (∀y)[Dy ⊃ (∃z)(Vz • Rxyz)]},(∃x){Fx • (∃y)[Vy • (∃z)(Dz • Rxyz)]},(∃x){Fx • (∃y)(∃z)[(Vy • Dz) • Rxzy]},(∀x){Fx ⊃ (∃y)[Vy . (∃z)(Dz • Rxyz)]},B,False,7.511010754420605e-05,0.13405125923915753,0.865873584031207,4.6622091308272815e-08
"Identify the antecedent of the following conditional proposition: The university raises tuition if, and only if, both the governor approves of it and the board of trustees recommends it.",The university raises tuition.,The governor approves of it.,The board of trustees recommends it.,None of the above,D,False,4.4568425123758934e-05,0.9999553410548224,8.993375829340243e-08,5.862954823665454e-10
 Select the best translation into predicate logic. All planets are smaller than Jupiter. (j: Jupiter; Px: x is a planet; Sxy: x is smaller than y),(∃x)(Px • Sxj),(∀x)(Px • Sxj),(∀x)(Px ⊃ Sjx),(∀x)(Px ⊃ Sxj),D,False,2.399536589447743e-10,0.155139932813778,0.8448598826264355,1.8431983301945153e-07
Select the best translation into predicate logic. José introduces Wilma to Kevin. (j: José; k: Kevin; w: Wilma; Ixyz: x introduces y to z),Iwkj,Ijwk,Iwjk,Ijkw,B,True,7.674598817717414e-20,0.999999999999788,1.6361335346764436e-13,4.844867945801715e-14
 Select the best translation into predicate logic: No artifacts are people.,~Pa,(∀x)(Ax ⊃ ~Px),~Ap,(∀x)(Ax • ~Px),B,True,1.8279669629906744e-15,0.9999996757280246,3.242621130220696e-07,9.860635536670702e-12
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
P ⊃ Q
Q · R / ~P · R",Valid,"Invalid. Counterexample when P, R, and Q are true",Invalid. Counterexample when P and Q are true and R is false,Invalid. Counterexample when R and Q are true and P is false,B,False,7.51375520787931e-08,0.2653996528613398,0.7345999816073675,2.9039374060386684e-07
Select the best translation into predicate logic. Marco moves from Italy to Spain. (i: Italy; m: Marco; s: Spain; Mxyz: x moves to y from z),Msim,Mmis,Mims,Mmsi,D,False,1.5034682324548802e-14,0.9998246558854953,0.00017325013955680644,2.093974932662332e-06
" Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∀x){Ax ⊃ (∀y)[(Hy • Ly) ⊃ ∼Bxy]}",All apartments are not bigger than some large house.,No apartment is bigger than any large house.,All large houses are not bigger than some apartment.,No large house is bigger than all apartments.,B,True,0.00435553489907346,0.9953094756612831,0.00033497735595074997,1.208369253327033e-08
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
J ≡ ~K
J ∨ L
~K / L",Valid,Invalid. Counterexample when J and K are true and L is false,Invalid. Counterexample when J is true and K and L are false,Invalid. Counterexample when K is true and J and L are false,C,False,1.4192991588532212e-09,0.8420149873851345,0.15798497471249937,3.648306673049837e-08
" Which of the given formulas of PL is the best symbolization of the following sentence?
Pablo will go to the store if, and only if, his brother drives him and pays for gas.",(P ≡ D) ≡ G,(D • G) ⊃ P,P ⊃ (D • G),P ≡ (D • G),D,False,2.836299283928488e-18,0.9999944910176284,5.5089823334754085e-06,3.819607762983024e-14
" Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)
D ≡ E
F ∨ D
~E · ~F",Inconsistent,"Consistent. Consistent valuation when D, E, and F are true",Consistent. Consistent valuation when D and E are true and F is false,Consistent. Consistent valuation when D and F are true and E is false,A,False,3.018581163513022e-06,0.6990693719499216,0.30092646065932277,1.1488095923408806e-06
" Which of the given formulas of PL is the best symbolization of the following sentence?
The restaurant serves pie or cheesecake or ice cream for dessert.",P ∨ (C ∨ I),(P ∨ C) ∨ I,P ∨ C ∨ I,Options A and B,D,False,0.882615863573712,0.11456190370401215,0.0028220401411239568,1.9258115180609692e-07
" Which of the given formulas of PL is the best symbolization of the following sentence?
If Beth rides her bike, she gets to work earlier.",B ⊃ W,W ⊃ B,B ≡ W,Both A and B,A,False,0.04574763253991846,0.04972303415857342,0.9045027479464872,2.6585355020864253e-05
Select the best translation into predicate logic: Either Taylor or Eric is a latte boy.,Lt ∨ Le,Lx ∨ Ly,tL ∨ eL,Tl ⊃ El,A,False,8.737509813400897e-21,0.9999999980962284,1.9037683325844193e-09,3.34308142005066e-15
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
E ⊃ F
G ⊃ ~F / ~G ∨ ~E",Valid,"Invalid. Counterexample when E, F, and G are true",Invalid. Counterexample when E and G are true and F is false,Invalid. Counterexample when F and G are true and E is false,A,False,1.186688949776837e-10,0.9999704165522868,2.958331837676485e-05,1.0667557470179046e-11
" Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)
A ⊃ (~B ∨ C)
C ⊃ D
A ∨ (B · ~D)
A ≡ (B ⊃ D)",Inconsistent,Consistent. Consistent valuation when A and D are true and B and C are false,"Consistent. Consistent valuation when A, B, and D are true and C is false",Consistent. Consistent valuation when C and D are true and A and B are false,B,False,0.00024798454793091204,0.3423468223999787,0.6574033608159551,1.832236135420101e-06
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
M ∨ N
~M · O / N",Valid,Invalid. Counterexample when M and O are true and N is false,Invalid. Counterexample when M is true and O and N are false,Invalid. Counterexample when O is true and M and N are false,A,False,2.146223600583999e-08,0.4342209617395605,0.5657781105285269,9.062696766361169e-07
" Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
U ⊃ W
W ⊃ (X ≡ ~Y)
(X ≡ ~Y) ⊃ Z
~Z",U ⊃ Z,U ∨ W,~W,~(X ≡ ~Y),D,False,4.2623812225671875e-13,0.9999997675033557,2.3247371278688475e-07,2.2505105895778733e-11
"Identify the antecedent of the following conditional proposition: If the Bees don't win their first game, then both the Aardvarks and the Chipmunks win their first games.",The Aardvarks win their first game.,The Bees don't win their first game.,The Chipmunks win their first game.,Both the Aardvarks and the Chipmunks win their first games.,B,False,0.9999987736458216,1.2263519615434548e-06,2.2108503602075055e-12,5.961186042916574e-15
Select the best translation into predicate logic. Holly loves Frances. (f: Frances; h: Holly; Lxy: x loves y),hLf,fLh,Lfh,Lhf,D,False,3.074582339945247e-26,1.0,3.2307879524360927e-18,1.863944189444914e-21
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P
~(~Q ∨ R) / ~P",Valid,"Invalid. Counterexample when P, Q, R, and S are true",Invalid. Counterexample when P and Q are true and R and S are false,"Invalid. Counterexample when P, R, and S are true and Q is false",C,False,3.305385433567828e-10,0.9999443164480991,5.568320111563322e-05,2.0246684162321306e-11
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
T ∨ U
W · T / U",Valid,Invalid. Counterexample when T and W are true and U is false,Invalid. Counterexample when T is true and W and U are false,Invalid. Counterexample when W is true and T and U are false,B,False,5.14211337574774e-07,0.46791228800422513,0.5320862710549125,9.26729524891693e-07
Identify the antecedent of the following conditional proposition: The university raises tuition if both the governor approves of it and the board of trustees recommends it.,The university raises tuition.,The governor approves of it.,The board of trustees recommends it.,The governor approves of it and the board of trustees recommends it.,D,False,4.20154365837549e-05,0.9999572565132907,7.138013371535045e-07,1.4248788478533854e-08
" Identify the antecedent of the following conditional proposition: The restaurant does not have peas, so instead they serve corn and potatoes.",The restaurant has peas.,The restaurant does not have peas.,The restaurant serves corn.,The restaurant serves potatoes.,B,True,0.0997891549288766,0.9001629529351803,4.777620341227817e-05,1.1593253085161753e-07
 Select the best translation into predicate logic. All jellybeans are sweeter than all fruit. (Fx: x is a fruit; Jx: x is a jellybean; Sxy: x is sweeter than y),(∀x)[Fx ⊃ (∀y)(Jy ⊃ Sxy)],(∀x)(∀y)[(Fx • Jy) • Sxy],(∀x)(∀y)[Sxy ⊃ (Fy • Jx)],(∀x)[Jx ⊃ (∀y)(Fy ⊃ Sxy)],D,False,8.29062795660733e-08,0.1391599323978206,0.8608366354615276,3.3492343721633382e-06
"Identify the conclusion of the following argument. That the world is my idea is a truth valid for every living creature, though only man can contemplate it. In doing so, he attains philosophical wisdom. No truth is more absolutely certain than that all that exists for knowledge and therefore this world is only object in relation to subject, perception of a perceiver. The world is an idea. (Arthur Schopenhauer, The World as Will and Idea)",The world is an idea.,"That the world is my idea is a truth valid for every living creature, though only man can contemplate it.","In doing so, he attains philosophical wisdom.","No truth is more absolutely certain than that all that exists for knowledge and therefore this world is only object in relation to subject, perception of a perceiver.",A,False,0.0014662404372284223,0.9985336693660057,9.018868908347024e-08,8.076862375440613e-12
Select the best translation into predicate logic. Leo is taller than Cathy. (c: Cathy; l: Leo; Txy: x is taller than y),Tlc,Tcl,lTc,cTl,A,False,3.5675394929008606e-21,1.0,5.743417254537587e-19,2.336247387149519e-17
" Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
C ⊃ (D ∨ C) and C · ~D",Logically equivalent,Contradictory,"Neither logically equivalent nor contradictory, but consistent",Inconsistent,C,False,8.162988570547789e-10,0.999979358772961,2.0640264629730535e-05,1.4611054775483052e-10
" Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
~O ⊃ P and O ∨ P",Logically equivalent,Contradictory,"Neither logically equivalent nor contradictory, but consistent",Inconsistent,A,False,2.1661164900714744e-10,0.999667603693344,0.00033224166663848583,1.544234056233613e-07
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
(T · ~U) ⊃ ~W
~W ⊃ X
~Z ⊃ W
~(X · Z) / T ⊃ U",Valid,"Invalid. Counterexample when T, X, and Z are true and U and W are false","Invalid. Counterexample when T and X are true and U, W, and Z are false","Invalid. Counterexample when T, W, and Z are true and U and X are false",A,False,9.964138258675565e-07,0.9999962484424246,2.7551357248287126e-06,8.02467458490297e-12
"Select the best translation into predicate logic: Cecilia breaks my heart if, and only if, Maria is either a problem or a girl.",Bc ≡ (Pm ∨ Gm),Bc ≡ (Pm • Gm),Bc ⊃ (Pm ∨ Gm),Cb ⊃ (Pm • Gm),A,False,2.0205993722933016e-22,0.9999999999858948,1.4020113949675083e-11,8.500474334218878e-14
"Select the best translation into predicate logic: If Delilah is in New York City, then Juana is in Bogota or Layla is in San Juan.",Nd ⊃ (Bj • Sl),Dn ≡ (Bx • Ly),Nd ≡ (Bj • Sl),Nd ⊃ (Bj ∨ Sl),D,False,7.638356118055567e-20,0.9998206792105344,0.00017932078940612563,5.940113558312518e-14
