0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
London dispersion forces are caused by,temporary dipoles created by the position of electrons around the nuclei in a molecule,the three-dimensional intermolecular bonding present in all covalent substances,the uneven electron-to-proton ratio found on individual atoms of a molecule,the electronegativity differences between the different atoms in a molecule,A,False,1.2274267831601209e-56,0.9999999999998619,4.248675142756264e-27,1.3817436265900154e-13
Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.,"70 pm, 1402 kJ/mol","86 pm, 898 kJ/mol","135 pm, 523 kJ/mol","40 pm, 995 kJ/mol",A,False,1.2192877065409282e-79,9.808405674490033e-33,0.9999999999839642,1.603586174865595e-11
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains",ionic bonding,nonpolar covalent bonding,covalent network bonding,metallic bonding,C,False,3.3134624716829577e-91,0.9999999999991007,3.880538016593777e-42,8.993823218404395e-13
The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is,Ag+(aq) + Br-(aq) → AgBr(s),NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq),Br-(aq) + NO3-(aq) → NO3Br(aq),NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq),A,False,4.476326974238717e-39,0.988415150503004,8.97897661174883e-09,0.011584840518019338
The symbol for antimony is,W,Sb,Fe,An,B,True,3.438334214880589e-94,1.0,2.2030487874780892e-57,8.454509838842646e-24
"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen?",0.33 atm,0.40 atm,0.50 atm,2.0 atm,C,True,3.2271804672954876e-88,1.404869536247356e-38,0.9999998636255554,1.3637444472218685e-07
Monatomic ions of the representative elements are often,very soluble,very electronegative,isoelectronic with a noble gas,highly colored,C,False,2.630181864276389e-87,0.9999837656683961,5.984249581278462e-21,1.6234331603855202e-05
Hund's rule requires that,no two electrons can have the same four quantum numbers,no two electrons with the same spin can occupy an orbital,no two electrons can occupy separate orbitals,no two electrons can pair up if there is an empty orbital at the same energy level available,D,False,1.027192405688054e-74,1.0,4.964013325864874e-38,1.5638809304248582e-22
All of the following ions have the same electron configuration except,Rb+,Se2-,As5+,Sr2+,C,True,1.1109883694343617e-49,0.024200976528833754,0.9757482970682527,5.072640291354754e-05
"Sulfurous acid is a weak acid, while sulfuric acid is a much stronger acid because",the O–H bonds in sulfuric acid are much weaker than in sulfurous acid due to the electron withdrawing of the oxygen atoms on sulfuric acid,sulfuric acid has more oxygen atoms in its formula,the sulfur in sulfuric acid is more electronegative than the sulfur in sulfurous acid,sulfuric acid has the hydrogen atoms bound directly to the sulfur atom,A,False,1.8115919209115385e-56,4.905219569982987e-22,4.226698746555276e-23,1.0
