0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,inflation had already impacted the economy before the fiscal stimulus.,the economy initially had some unemployed resources.,aggregate supply decreased.,aggregate demand is steeply sloped.,B,True,1.0003568241226184e-64,0.986985979270605,0.013014020728990819,4.04058808817871e-13
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,II III and IV only,I and III only,II and IV only,III and IV only,D,True,1.6323870708973401e-49,0.002257773204209721,5.691100892184857e-06,0.9977365356948981
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,The price level rises but real GDP falls.,Both the price level and real GDP rise.,The price level rises but the change in real GDP is uncertain.,Real GDP rises but the change in the price level is uncertain.,D,False,7.933524402993479e-57,1.8451664727428433e-07,0.9998068170322568,0.00019299845109597082
Tariffs and quotas,result in lower domestic prices.,sometimes raise and sometimes lower the amount of the product sold domestically.,lower the amount of the product sold domestically.,raise the amount of the product sold domestically.,C,False,4.468982516385398e-77,0.9961392928476352,0.0038606962747969368,1.087756760485376e-08
A likely cause of falling Treasury bond prices might be,expansionary monetary policy.,contractionary monetary policy.,a depreciating dollar.,fiscal policy designed to reduce the budget deficit.,B,True,1.1498399232097413e-88,0.9999999999994342,7.3486864511117e-16,5.650822411798517e-13
Households demand more money as an asset when,nominal GDP falls.,the nominal interest rate falls.,bond prices fall.,the supply of money falls.,B,False,1.3937822048393482e-80,2.018024236379747e-28,1.0,6.36998479422954e-22
Allocative efficiency,means that no inferior products will be produced.,implies that the economy's output is distributed evenly.,means that those who work hardest will get more.,implies that resources are used to produce the goods and services society desires in just the right amounts.,D,False,3.4742740081426724e-64,0.9999957394040496,4.260501654385484e-06,9.429586955343815e-11
GDP measures,production within a nation's borders.,production by a nation's citizens wherever they may be.,income earned by the factors of production plus depreciation and indirect business taxes.,(A) and (C),D,True,2.6818165871085257e-42,0.021051954448424993,4.462547547601527e-11,0.9789480455069496
Every choice results in a foregone best alternative which economists call the,accounting cost,switching cost,inferior cost,opportunity cost,D,False,1.61635303275844e-67,0.8167453955132236,0.17406237580345876,0.009192228683317814
When a nation is operating at the natural rate of unemployment,there is no cyclical unemployment.,the inflation rate is zero.,there is no structural unemployment.,the nation is experiencing a recession.,A,False,4.228852288125114e-64,0.9998002229521724,0.00018750364960602107,1.2273398221482535e-05
If a country has a negative value on its current account then it must,pay that amount to its trading partners.,have a positive value of equal magnitude on its capital account.,depreciate its currency.,appreciate its currency.,B,False,1.0579017806612493e-83,3.5238791853849144e-17,0.9999999984854557,1.514544282854701e-09
Which of the following transactions would be counted in GDP?,The cash you receive from babysitting your neighbor’s kids,The sale of illegal drugs,The sale of cucumbers to a pickle manufacturer,The sale of a pound of tomatoes at a supermarket,D,False,9.321226089943953e-76,0.9999948928700544,1.0067814893973254e-37,5.107129945535274e-06
If your nominal income rises 4 percent and your real income falls 1 percent by how much did the price level change?,5 percent decrease,¼ percent increase,3 percent increase,5 percent increase,D,False,1.4479123409087018e-94,1.560742907996214e-26,0.9999999892067523,1.0793247783535862e-08
Economy X is an open economy with flexible exchange rates. Economy Y is closed. Ceteris paribus expansionary monetary policy is,more effective in X because the policy will increase net exports.,more effective in X because the policy will decrease net exports.,equally effective in X and Y.,less effective in X because the policy will decrease net exports.,D,True,3.0457080752092504e-41,4.495121183625033e-15,6.886195536843426e-13,0.9999999999993068
Equilibrium real GDP is far below full employment and the government lowers household taxes. Which is the likely result?,Unemployment falls with little inflation.,Unemployment rises with little inflation.,Unemployment falls with rampant inflation.,Unemployment rises with rampant inflation.,A,False,9.674442113596853e-77,0.8091416939290078,0.1908583060709896,2.6160796132153704e-15
If $1000 is deposited into a checking account and excess reserves increase by $700 the reserve ratio must be:,70%.,30%.,40%.,90%.,B,False,3.119218148164813e-87,3.4862621720783387e-20,0.9999999956272063,4.37279355821749e-09
Automatic or built-in stabilizers,prevent inflation.,prevent recessions from occurring.,prevent inflation and recessions from occurring.,are government policies already in place that promote deficit spending during recessions and surplus budgets during expansions.,D,False,1.1394172212711098e-69,0.9999778042190027,2.1414010171850976e-07,2.1981640895561704e-05
Suppose consumers expect the price of corn to be lower in the near future while the price of seed corn and fertilizer fall. What will happen to the equilibrium price and the equilibrium quantity?,The equilibrium price will rise while the equilibrium quantity is indeterminate.,The equilibrium price will fall while the equilibrium quantity is indeterminate.,The equilibrium price is indeterminate while the equilibrium quantity will rise.,The equilibrium price is indeterminate while the equilibrium quantity will fall.,B,False,3.378072795419088e-49,1.7341500355465861e-15,6.327887857332516e-07,0.9999993672112125
An increase in the demand for money in the economy could result from,a recession.,a higher price level.,higher interest rates.,expected future inflation.,B,True,2.1157049552681816e-80,0.9995051905571107,0.0004947354594812395,7.398340796199137e-08
An increase in the consumer price index is commonly referred to as,economic growth.,inflation.,unemployment.,discouraged workers.,B,True,1.1021844030693027e-69,1.0,9.293055219177806e-22,1.908940655265638e-24
GDP measures I. production II. income earned during the production process III. spending by consumers businesses governments and foreigners,Only I is correct.,Only II is correct.,Only III is correct.,I II and III are correct.,D,True,9.789724764390167e-48,5.729241846080642e-40,2.0361221781474927e-17,1.0
The economy is currently operating at full employment. Assuming flexible wages and prices how would a decline in aggregate demand affect GDP and the price level in the short run and GDP and the price level in the long run? SHORT-RUN GDP     SHORT-RUN PRICE LEVEL     LONG-RUN GDP     LONG-RUN PRICE LEVEL,Falls     Falls     No change     Falls,Falls     Falls     Falls     Falls,No change     Falls     No change     No change,Falls     Falls     No change     No change,A,False,3.5962383547085406e-52,1.0,1.553532161586867e-33,2.2043899219027154e-23
