0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",0.005 C,0.01 C,0.02 C,0.5 C,B,False,1.418075686412909e-90,0.012550604169574917,2.4061495482487425e-33,0.987449395830425
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,the electric field produced by a finite-length charged rod,the electric field produced by an infinitely long charged cylinder,the electric field produced by an infinite plane of charge,"the magnetic field produced by an infinitely long, straight current-carrying wire",A,False,2.805766424186758e-34,1.5882715182299188e-08,0.0018944678006361897,0.9981055163166487
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",electric field outside the object is zero,the electric field outside the object is equal to the electric field inside the object,the electric field outside the object is directly proportional to the distance away from the center of mass of the object,"the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space",D,True,3.4797923409229704e-52,2.164308815679454e-05,8.804465084930113e-13,0.9999783569109627
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,"Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.","Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.","Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.","Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.",C,False,7.119365755457062e-59,1.2206249023629088e-09,1.3161636004329164e-15,0.9999999987793737
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,I only,II only,II and III only,"(E) I, II, and III",D,True,7.417508103167341e-79,2.0117205967547788e-14,3.0933028281810973e-20,0.9999999999999798
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The object’s kinetic energy at the bottom must be,"Equal to the block’s gravitational potential energy when it was released, because total mechanical energy must be conserved.","Equal to the block’s gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.","Less than the block’s gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.","Less than the block’s gravitational potential energy when it was released, because the work done by the friction force must be greater than the block’s gain in kinetic energy.",C,False,8.061892047305409e-57,4.5868201115032953e-20,8.607295342502221e-20,1.0
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).","The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).",A,False,5.640943904053814e-63,8.675082286094074e-13,2.838312924392526e-21,0.9999999999991325
How much work is required to charge a 10 µF capacitor to a potential difference of 100 V ?,0.005 J,0.01 J,0.05 J,0.1 J,C,False,6.687343174409682e-72,2.6340320583813093e-18,6.852528885710992e-15,0.9999999999999931
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is μ, how far does the box slide before coming to rest?",v0^2/(2μg),v0^2/(μg),2v0^2/(μg),mv0^2/(μg),A,False,3.152620868346738e-60,0.02503008801048113,0.04648473035514236,0.9284851816343764
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30°. Calculate its total flight time, assuming that air resistance is negligible.",0.5 s,1 s,2 s,4 s,B,False,6.466964387101258e-100,0.010551355223050079,6.693444571228989e-14,0.989448644776883
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.,The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.,The density of the hydrogen gas is less than the nitrogen gas.,The pressures of the gases cannot be compared without knowing the number of molecules in each container.,D,True,1.1925711071896896e-63,2.0373512803134053e-08,6.730069122376877e-23,0.9999999796264871
"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",Move the boy to half his original distance from the fulcrum.,Move the girl to double her original distance from the fulcrum.,Allow a second girl of mass m to join the first.,Move the fulcrum to half its original distance from the boy.,D,False,4.342854947444051e-81,0.9999261672061206,1.9240954981566015e-22,7.383279387945182e-05
"When hot water is poured into a beaker containing cold alcohol, the temperature of the mixture will eventually reach the same temperature. Considering the scale of the size of the molecules of the fluids, which of the following is the primary reason for this phenomenon?",The high temperature water will rise to the top of the container until it has cooled and then mixes with the alcohol.,"The molecules of the water continue to have a higher kinetic energy than the molecules of the alcohol, but the two liquids mix until the energy is spread evenly throughout the container.",The hot water produces thermal radiation that is absorbed by the cold alcohol until the kinetic energy of all the molecules is the same.,"The water molecules collide with the alcohol molecules, transferring energy until the average kinetic energy of both the water and alcohol molecules are the same.",D,False,1.313679099671782e-54,0.9401816562418136,6.915428565418907e-16,0.05981834375818583
"A solid sphere (I = 0.06 kg·m^2) spins freely around an axis through its center at an angular speed of 20 rad/s. It is desired to bring the sphere to rest by applying a friction force of magnitude 2.0 N to the sphere’s outer surface, a distance of 0.30 m from the sphere’s center. How much time will it take the sphere to come to rest?",4 s,2 s,0.06 s,0.03 s,B,False,8.008115209633478e-88,4.36120982057923e-09,5.1624840396627105e-06,0.9999948331547506
The radius of Mars is about half that of Earth; the mass of Mars is about one-tenth that of Earth. Which of the following is closest to the gravitational field at the surface of Mars?,10 N/kg,4 N/kg,2 N/kg,0.5 N/kg,B,False,3.546379917006438e-88,1.3293506377295755e-08,3.821830518448682e-06,0.9999961648759752
"Above an infinitely large plane carrying charge density σ, the electric field points up and is equal to σ/2εo. What is the magnitude and direction of the electric field below the plane?","σ/2εo, down","σ/2εo, up","σ/εo, down","σ/εo, up",A,False,3.0374517388607996e-49,5.999634979831296e-07,5.200202583005179e-06,0.9999941998339189
"A beam of electrons has speed 10^7 m/s. It is desired to use the magnetic field of the Earth, 5 × 10−5 T, to bend the electron beam into a circle. What will be the radius of this circle?",1 nm,1 μm,1 mm,1 m,D,True,4.516250035899854e-93,0.001101086528716487,8.885674264756014e-17,0.9988989134712833
An object is placed 100 cm from a plane mirror. How far is the image from the object?,50 cm,100 cm,200 cm,300 cm,C,False,9.227144735180032e-98,0.6286318558626941,3.7559638726396015e-10,0.3713681437617095
"A horse is attached to a cart that is at rest behind it. Which force, or combination of forces, explains how the horse-cart system can accelerate from rest?","The forward static friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration.","The forward force of the horse on the cart is greater than the backward force of the cart on the horse, providing a forward acceleration.",The force of the horse’s muscles on the rest of the horse-cart system provides the necessary acceleration.,"The upward normal force of the ground on the horse is greater than the horse’s weight, providing an upward acceleration.",A,False,2.0529832442668884e-66,0.032372282024842075,7.71809180672396e-19,0.9676277179751579
"In a certain region, the electric field varies with the radius away from origin by the equation Er = –6r^2 + 4r + 3, where r is given in meters and E in N/C. The potential difference between the origin and the point (3, 4) is",–165 V,–120 V,64 V,185 V,D,False,3.330253544429357e-101,0.9991397821327891,2.759941428882445e-10,0.0008602175912168342
"A gas undergoes an expansion-compression cycle. If, plotted on a P-V diagram, the cycle is counterclockwise and the work is 300 J in magnitude, what was the heat transfer during this cycle?",300 J into the system,300 J out of the system,600 J into the system,600 J out of the system,B,False,3.7670798476177166e-76,9.268299978329064e-07,1.1854016608666663e-14,0.9999990731699903
"An ideal battery of constant voltage V supplies current to a circuit that has total resistance R. If R is doubled, what will happen to the total power dissipated by the circuit?",It will double.,It will quadruple.,It will be halved.,It will remain the same.,C,False,1.4149528963240317e-51,1.0899660429699774e-09,1.2632732290360443e-10,0.9999999987837067
Ultraviolet light has a wavelength of about 6 × 10^-8 m. What is the frequency of this light?,5 × 10^15 Hz,0.5 Hz,2 Hz,20 Hz,A,False,2.3079969186917605e-97,0.7066271512246407,3.9964125970764186e-18,0.29337284877535924
Each of the following ionized isotopes is projected with the same speed into a uniform magnetic field B such that the isotope's initial velocity is perpendicular to B. Which combination of mass and charge would result in a circular path with the largest radius?,"m = 16 u, q = –5 e","m = 17 u, q = –4 e","m = 18 u, q = –3 e","m = 20 u, q = –1 e",D,True,1.0791230374959244e-55,1.8826179399565152e-14,2.8107327562765824e-06,0.9999971892672249
An electric dipole consists of a pair of equal but opposite point charges of magnitude 4.0 nC separated by a distance of 2.0 cm. What is the electric field strength at the point midway between the charges?,0,9.0 × 10^4 N/C,1.8 × 10^5 N/C,7.2 × 10^5 N/C,D,False,1.9779137903973975e-87,0.9999999701385753,1.1911313635825136e-23,2.9861424706880746e-08
"A person can stand outside on a cold day for hours without ill effect, but falling into a cold lake can kill a person in a matter of minutes. Which of the following is the primary reason for this phenomenon?","The molecules of the person are, on average, moving faster than those of the surroundings.",Thermal energy moves from high concentration areas (hot) to low concentration areas (cold).,"As heat flows out of the person and warms the fluid surrounding the person, the warmer fluid rises, allowing fresh cool fluid to come in contact with the person and increasing the rate of heat transfer.","Water has more molecules per volume than air, increasing molecular contact with the person.",D,False,2.4242160785079968e-70,0.9999999991723554,1.1830524699062557e-16,8.276444683616802e-10
"A liquid flows at a constant flow rate through a pipe with circular cross-sections of varying diameters. At one point in the pipe, the diameter is 2 cm and the flow speed is 18 m/s. What is the flow speed at another point in this pipe, where the diameter is 3 cm?",4 m/s,6 m/s,8 m/s,12 m/s,C,False,1.0774316845219563e-97,0.7177404906447981,0.0005270419237589277,0.281732467431443
"An ideal fluid flows through a pipe with radius Q and flow speed V. If the pipe splits up into three separate paths, each with radius (Q/2), what is the flow speed through each of the paths?",1/3 V,2/3 V,4/3 V,4V,C,False,1.1078694957317117e-98,0.06107135603558162,1.1185552122287492e-13,0.9389286439643064
A very slow-moving positron interacts with a stationary electron. Which of the following statements correctly describes a possible outcome of this reaction and why it would occur?,"Conservation of mass indicates that if a single new particle were created in the reaction, it must have a total mass equal to the combined masses of the electron and positron.",Conservation of charge indicates that all new particles created in the reaction would have no electric charge.,Conservation of momentum indicates that two identical gamma rays moving off in opposite directions could be created.,"Conservation of energy indicates that the antimatter positron could annihilate into energy, leaving the stationary electron behind.",C,False,1.0760403410077306e-60,9.94501154503844e-12,4.7510142695732093e-17,0.9999999999900548
"A box sits on an inclined plane without sliding. As the angle of the plane (measured from the horizontal) increases, the normal force",increases linearly,decreases linearly,does not change,decreases nonlinearly,D,True,7.372866432068845e-56,1.224005435107556e-05,1.21406727569962e-06,0.9999865458783732
A small cart of mass m is initially at rest. It collides elastically with a large cart of mass 4m and velocity v. The large cart loses half its kinetic energy to the little cart. The little cart now has a velocity of,1.41v,v,2v,4v,A,False,4.2393508777577625e-94,1.677337687794164e-08,1.412585311386349e-21,0.9999999832266232
"A circuit consists of a battery and a light bulb. At first, the circuit is disconnected. Then, the circuit is connected, and the light bulb lights. After the light bulb has been lit for a few moments, how has the net charge residing on the circuit elements changed?",The net charge has become more positive.,The net charge has become more negative.,The net charge has not changed.,Whether the net charge becomes more positive or more negative depends on the initial net charge residing on the circuit elements before the bulb was lit.,C,False,1.2174491231427688e-45,1.5730540496531057e-05,2.8769067723476834e-09,0.9999842665825968
"If the force of gravity between the Moon and the Earth were to stop, which statement best describes the resulting motion of the moon?","It would continue rotating on its axis, and it would revolve around the Earth as usual.","It would continue rotating on its axis, but it would stop revolving around the Earth.","It would stop rotating on its axis, but it would revolve around the Earth as usual.","It would stop rotating on its axis, and it would stop revolving around the Earth.",B,False,8.370219517471139e-51,2.080116345210068e-07,1.7926718378037806e-14,0.9999997919883477
